"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1472,"Need","Pressure",2023-08-20 18:29:58,2023-08-20 18:35:07,2023-08-20 18:35:08,309,"I consent to participate in this study. Take me to the study.",0.78,"You would earn $0.75, and the other person would earn $0.25","They don't have regular access to food and receive their food from a soup kitchen. They will not know who I am or anything about me.",2.64,6.898,8.214,3,0.52,"I wanted to split the money 50-50. Because of the time pressure I was only able to get close to that, 52 for the other person and 48 for me.","Some experience","They lack regular access to food and receive a number of their meals at a soup kitchen. They will not know who I am or anything about me.","If people are more generous when the other person is someone in need.","No, I would like to complete the study.",1155,"English",68,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1473,"Control","Delay",2023-08-20 18:31:22,2023-08-20 18:35:17,2023-08-20 18:35:17,234,"I consent to participate in this study. Take me to the study.",0.08,"You would earn $0.75, and the other person would earn $0.25","The other person is randomly chosen from prolic",5.353,8.402,16.677,2,0.09,"I want to keep as much for myself as possible.","No experience","They were random and a Prolific particupant","willingness to give","No, I would like to complete the study.",2329,"English",40,"Female","Black","United States","United States","United States","English","No","Full-Time"
1474,"Need","Delay",2023-08-20 18:30:39,2023-08-20 18:35:22,2023-08-20 18:35:23,282,"I consent to participate in this study. Take me to the study.",0.72,"You would earn $0.75, and the other person would earn $0.25","the other person is someone less fortunate and has less access to food",2.536,9.937,10.989,2,0.4,"I think it was fair for me to chose that amount although I should've give more","Some experience","someone who has less access to food","how much money I would give based on what another person is going through","No, I would like to complete the study.",2615,"English, Spanish",29,"Male","Other","United States","United States","United States","Spanish","Yes","Part-Time"
1475,"Need","Delay",2023-08-20 18:31:46,2023-08-20 18:35:25,2023-08-20 18:35:26,218,"I consent to participate in this study. Take me to the study.",0.29,"You would earn $0.75, and the other person would earn $0.25","poor person lacks resources eats at soup kitchen",13.813,17.66,19.255,2,0,"i work for money maybe poor dude should get flippin job","A lot of experience","poor eats at food pantry soup kitchen lacks resources","don't care","No, I would like to complete the study.",3233,"English",39,"Male","Mixed","United States","United States","United States","English","No","Full-Time"
1476,"Need","Pressure",2023-08-20 18:29:48,2023-08-20 18:35:26,2023-08-20 18:35:27,338,"I consent to participate in this study. Take me to the study.",0.51,"You would earn $0.75, and the other person would earn $0.25","The other person receives food from a soup kitchen giveaway, they are very poor, very pitiful, very needy.",3.386,5.229,7.164,2,0,"I am not here to earn money to give to somebody else.  If I didn't need the money pretty badly I would not be doing these stupid low paying ""studies"".  Does it take a college degree to figure it out?
","No experience","The other person appears to need help getting food, but they are getting the food they need.","To see how much money can be wasted.","No, I would like to complete the study.",4461,"English",NA,"Male",NA,"United States","United States","United States","English",NA,NA
1477,"Control","Pressure",2023-08-20 18:28:09,2023-08-20 18:35:28,2023-08-20 18:35:28,438,"I consent to participate in this study. Take me to the study.",0.84,"You would earn $0.75, and the other person would earn $0.25","They will never know who i am and i wont know who they are. Its anonymous",1.038,8.391,10.427,6,0.2,"It wasn't a terrible amount to give","Some experience","they are a random person.  its anonymous,","how much you would give to someone else","No, I would like to complete the study.",560,"English",40,"Female","White","United States","United States","United States","English","No","Full-Time"
1478,"Debt","Pressure",2023-08-20 18:28:24,2023-08-20 18:35:29,2023-08-20 18:35:30,425,"I consent to participate in this study. Take me to the study.",0.79,"You would earn $0.75, and the other person would earn $0.25","They were given 25 cents which they transferred to me.  But it was quadrupled when going to me so I received $1.00",4.101,4.101,6.204,1,0.51,"To divide it evenly.","Some experience","Just that they received 25 cents and when sending me the money they had the choice to be generous and quadruple the amount paid to me.","no idea","No, I would like to complete the study.",905,"English",60,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1479,"Debt","Pressure",2023-08-20 18:27:01,2023-08-20 18:35:41,2023-08-20 18:35:41,520,"I consent to participate in this study. Take me to the study.",0.72,"You would earn $0.75, and the other person would earn $0.25","they were asked if they wanted the 25 cents multiplied by 4 and given back to me, they replied yes. they will never know who i am nor i know who they are.",2.026,4.395,5.51,3,0.25,"because i thought i was supposed to put the same amount from earlier, 25 cents. if i thought it was a totally independent question/answer, i think i would have chose 50 cents.","Some experience","they do not know who i am, and they chose to give me back 4x the amount i gave them.","memory and recall","No, I would like to complete the study.",3704,"English",NA,"Male","White","United States","United States","United States","English",NA,NA
1480,"Control","Delay",2023-08-20 18:30:57,2023-08-20 18:35:52,2023-08-20 18:35:52,294,"I consent to participate in this study. Take me to the study.",0.54,"You would earn $0.75, and the other person would earn $0.25","It is someone that uses Prolific but they are anonymous.",14.008,18.503,19.53,3,0,"I didn't want to give away any of the bonus to the other person.","A lot of experience","They are a Prolific user but they were anonymous and chosen randomly.","I don't know.","No, I would like to complete the study.",4178,"English",37,"Male","White","United States","United States","United States","English","No",NA
1481,"Need","Pressure",2023-08-20 18:28:06,2023-08-20 18:35:58,2023-08-20 18:35:59,472,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","This person doesn't have access to food and they go to a soup kitchen for several of their meals.",4.142,4.142,5.608,1,0.1,"I wanted to give at least a little money but I can't afford to give much.","A lot of experience","They don't have regular access to food and they receive several of their meals from a soup kitchen.","I think the purpose of this survey is to study altruistic behavior.","No, I would like to complete the study.",2757,"English",35,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1482,"Need","Pressure",2023-08-20 18:28:56,2023-08-20 18:36:01,2023-08-20 18:36:01,424,"I consent to participate in this study. Take me to the study.",0.86,"You would earn $0.75, and the other person would earn $0.25","The person I'm paired with doesn't have access to much food and often eats at the local soup kitchen.",3.431,3.431,7.397,1,0.5,"I was trying to be fair by giving the person half of the money.","No experience","The person I was matched with didn't have much access to food and gets several of their meals at the local soup kitchen.","I think it was to see how much we'd give to the other person who might be worse off than we are.","No, I would like to complete the study.",317,"English",62,"Female","White","United States","United States","United States","English","No","Full-Time"
1483,"Debt","Delay",2023-08-20 18:28:59,2023-08-20 18:36:01,2023-08-20 18:36:02,422,"I consent to participate in this study. Take me to the study.",0.32,"You would earn $0.75, and the other person would earn $0.25","The other person was asked if they wanted to give me their 25 cents and have it multiplied by four, and they said yes.",14.423,18.541,43.203,2,0.5,"The other person trusted me to do the right thing. I kept my end of the bargain and split the money with them 50/50.","Some experience","The other person was given 25 cents and asked if they wanted to transfer it to me and then have it multiplied by four.","You may have been studying what people perceive to be fair play.","No, I would like to complete the study.",3897,"English",53,"Female","White","United States","United States","United States","English","No","Full-Time"
1484,"Debt","Pressure",2023-08-20 18:31:19,2023-08-20 18:36:02,2023-08-20 18:36:03,283,"I consent to participate in this study. Take me to the study.",0.73,"You would earn $0.75, and the other person would earn $0.25","They were given .25 and decided to give it to me.",1.886,4.461,5.611,3,1,"Because I would hope that most people would be nice and decide to give the money to the other person.","Some experience","They were given .25 and decided to give that to me.","Trying to find out our decision making process.","No, I would like to complete the study.",1702,"English",47,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1485,"Debt","Pressure",2023-08-20 18:31:19,2023-08-20 18:36:05,2023-08-20 18:36:06,285,"I consent to participate in this study. Take me to the study.",0.49,"You would earn $0.75, and the other person would earn $0.25","They were given 25 cents and they asked if they wanted to multiply this and they did, making it 1 dollar and they gave it to me. I will never know who this person is and they will never know who I am.",1.906,3.329,4.109,3,0,"I choose to take all the money. I want it and I doubt that 1 dollar will affect them much as it will actually affect me.","Some experience","They chose to give me the 1 dollar and I will never know who they are and they will never know who I am.","Who is greedy enough to take money.","No, I would like to complete the study.",793,"English",33,"Male","Mixed","United States","United States","United States","English","No",NA
1486,"Control","Pressure",2023-08-20 18:30:18,2023-08-20 18:36:10,2023-08-20 18:36:10,351,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","They are another randomly assigned Prolific participant that I will not know the identity of nor will they know mine.",2.115,2.115,4.828,1,0.5,"Seemed fair to give each of us half.","Some experience","They are a random Prolific participant that doesn't know my identity nor do I know theirs.","If people would share knowing they have nothing to gain from it.","No, I would like to complete the study.",752,"English",31,"Male","White","Ukraine","United States","United States","English",NA,NA
1487,"Control","Pressure",2023-08-20 18:31:30,2023-08-20 18:36:14,2023-08-20 18:36:14,283,"I consent to participate in this study. Take me to the study.",0.58,"You would earn $0.75, and the other person would earn $0.25","they are from prolific and wont know who I am or vice versa.",1.825,2.356,4.036,2,0,"I wanted it","Some experience","from prolific, random","no idea","No, I would like to complete the study.",2848,"English",61,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1488,"Debt","Delay",2023-08-20 18:30:18,2023-08-20 18:36:45,2023-08-20 18:36:45,386,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.75, and the other person would earn $0.25","The other person was given 25 cents. They had the option of sending an amount to me multiplied by 4. They decided to send all 25 cents to me, multiplied by four giving me the one dollar I have now.",3.248,9.989,15.932,5,0.5,"Splitting it 50/50 is the most fair. Especially when they sent it to me to be multiplied first.","Some experience","They were given 25 cents. They either got to keep that or send me some multiplied by 4. They sent me all 25 cents, resulting in me having a dollar.","If people knew someone sent them the money first, would they be more likely to give more back.","No, I would like to complete the study.",553,"English",25,"Male","Mixed","United States","United States","United States","English",NA,NA
1489,"Debt","Delay",2023-08-20 18:32:14,2023-08-20 18:37:09,2023-08-20 18:37:09,294,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were given 25 cents and asked if they wanted to multiply it by 4 to send the other participant a dollar. They said yes, so I now have $1.",14.545,20.042,21.225,3,0,"I simply wanted to maximize my own bonus.","Some experience","I was told that they were initially given $0.25, asked if they wanted to multiply it by 4 to send to another participant, and that they said yes.","To understand what factors encourage or discourage cooperation and giving behaviors.","No, I would like to complete the study.",5906,"English",36,"Male","White","United States","United States","United States","English","No","Full-Time"
1490,"Control","Pressure",2023-08-20 18:14:58,2023-08-20 18:37:12,2023-08-20 18:37:13,1333,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I will be matched with an anonymous participant. I will never know who they are and they will never know who I am.",2.089,4.421,6.421,3,0.5,"I gave half of my amount so we would get the same bonus. I felt that is what was fair.","A lot of experience","the other person was a randomly selected prolific participant that will remain anonymous.","How people make decisions regarding money.","No, I would like to complete the study.",1467,"English",47,"Male","White","United States","United States","United States","English","No","Full-Time"
1491,"Need","Pressure",2023-08-20 18:30:44,2023-08-20 18:37:13,2023-08-20 18:37:13,389,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The person who i am giving the money to eats at a soup kitchen and doesnt have regular access to food.",4.423,4.423,7.407,1,0.5,"I split it with them. I am not giving it all to them because they are down on their luck. Prolific ain't UNICEF.","A lot of experience","That they do not have regular access to food and eat at a soup kitchen.","To see if  when given a sad tale we would give all of our earnings to someone whom we do not know at all.","No, I would like to complete the study.",1662,"English",47,"Male","White","United States","United States","United States","English","No","Full-Time"
1492,"Debt","Pressure",2023-08-20 18:31:45,2023-08-20 18:37:14,2023-08-20 18:37:14,328,"I consent to participate in this study. Take me to the study.",0.32,"You would earn $0.75, and the other person would earn $0.25","That the other person was asked if they'd like to multiply the 25 cents sent to them by sending it back to me, and they said yes. And that I'd never know who the person was and they'd never know who I am.",1.282,1.999,2.942,2,0.23,"Because it might be multiplied and sent back to me, and if not, I'd like to at least share some with the other person.","Some experience","That they had said they would elect to send 25 cents back to me which would multiply by four when they did. And that I'd never know their identity, nor would they know mine.","Views on sharing vs potential to receive","No, I would like to complete the study.",3984,"English, Spanish",35,"Female","White","United States","United States","United States","English",NA,NA
1493,"Need","Delay",2023-08-20 18:24:28,2023-08-20 18:37:21,2023-08-20 18:37:22,773,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","This person does not have an adequate supply of food. In other words he or she is not in a good spot.they can use some help.",12.048,13.256,14.201,2,1,"I put myself in this persons shoes and that's the only decision I would make. If this is a real situation you have my consent to give the person all the money I will receive from this survey. In other words the money you said you will pay me in 1 to 2 days you can give this person.","No experience","You said that this person has to rely on food kitchens to eat. He is basically poor and needs help.","I'm not sure,may be How people react this kind of situation.","No, I would like to complete the study.",1761,"English",63,"Male","White","United States","United States","United States","English","No","Full-Time"
1494,"Debt","Delay",2023-08-20 18:27:53,2023-08-20 18:37:23,2023-08-20 18:37:23,569,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","This person was given 25 cents and was asked if they wanted to multiply that by 4.  they said yes and I get 1.00",21.39,27.701,28.946,2,0.25,"I wanted the bigger bonus","Some experience","They were given 25 cents and asked if they wanted to multiply by 4.  They said yes leaving me with 1.00","How we make decisions","No, I would like to complete the study.",1013,"English",66,"Female","White","United States","United States","United States","English","No","Full-Time"
1495,"Need","Delay",2023-08-20 18:26:59,2023-08-20 18:37:28,2023-08-20 18:37:28,629,"I consent to participate in this study. Take me to the study.",0.73,"You would earn $0.75, and the other person would earn $0.25","They need help with food and they get food from a soup kitchen",0,0,67.108,0,1,"I do surveys on prolific and I earn a bit of cash so this person needed it more than I did.","Some experience","They went to a soup kitchen  because they had problems getting food.","I have no idea. I never do when asked that question.","No, I would like to complete the study.",1829,"English",56,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1496,"Debt","Delay",2023-08-20 18:34:02,2023-08-20 18:37:28,2023-08-20 18:37:29,205,"I consent to participate in this study. Take me to the study.",0.66,"You would earn $0.75, and the other person would earn $0.25","The person gave up money so that the amount could be multiplied and given to me.",14.093,15.602,16.863,3,0.5,"I wanted to be fair.","No experience","The person gave up money to give me some.","I have no idea.","No, I would like to complete the study.",4362,"English",38,"Male","Black","United States","United States","United States","English","No","Full-Time"
1497,"Need","Delay",2023-08-20 18:30:35,2023-08-20 18:37:35,2023-08-20 18:37:35,420,"I consent to participate in this study. Take me to the study.",0.65,"You would earn $0.75, and the other person would earn $0.25","The person I am matched with is food-insecure. They get several meals from the soup kitchen on the regular.",8.638,13.346,23.082,2,1,"While the extra bonus would be nice, especially given recent changes in my personal circumstances, I am not in a position that I need the extra money that badly. I'd rather someone that needs it more than I do to have it.","Some experience","The other person I was matched with had to get several meals from the local soup kitchen on the regular.","Whether the circumstances of the person you're sharing with affect the amount you're willing to share?","No, I would like to complete the study.",1804,"English",39,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1498,"Control","Pressure",2023-08-20 18:29:20,2023-08-20 18:37:35,2023-08-20 18:37:35,494,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is randomly chosen and will never know who I am. Likewise I will not have any information about them.",2.18,6.099,7.516,4,0.5,"50/50 seemed like the fairest choice to make!","Some experience","I was told that this person is randomly chosen and will have no idea about me just as I will not know about them.","no clue","No, I would like to complete the study.",284,"English, Hindi",52,"Female","Asian","India","United States","United States","Hindi","No","Part-Time"
1499,"Need","Delay",2023-08-20 18:33:23,2023-08-20 18:37:38,2023-08-20 18:37:39,254,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","The other person is someone who doesn't have regular access to food and receives several of their meals at a local soup kitchen.",14.693,16.936,20.49,3,0.1,"I chose to give this person a low amount of money because I wanted more money for myself. I felt a little bit sorry about their situation so I gave them a little bit. I felt a little bit is better than nothing.","Some experience","I remember that the person was someone who didn't have regular access to food and spends time at a soup kitchen to get their meals.","To see if someone's circumstances influence donations.","No, I would like to complete the study.",1538,"English",34,"Male","Asian","United States","United States","United States","English","No","Full-Time"
1500,"Control","Pressure",2023-08-20 18:34:30,2023-08-20 18:37:40,2023-08-20 18:37:40,189,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","An anonymous prolific user I'll never meet",2.383,2.383,3.369,1,0,"I wanted the most I could possibly get for myself","Some experience","Anonymous prolific user. I have never met them, and never will because they are anonymous.","Fairness to strangers","No, I would like to complete the study.",3389,"English",39,"Male","White","United States","United States","United States","English","No","Full-Time"
1501,"Debt","Pressure",2023-08-20 18:23:36,2023-08-20 18:37:47,2023-08-20 18:37:47,850,"I consent to participate in this study. Take me to the study.",0.64,"You would earn $0.75, and the other person would earn $0.25","they dont know me and i dont know them, they sent me a dollar",3.251,3.251,5.348,1,0.51,"tried to do half for us both to be fair","Some experience","that i dont know them and they dont know me and you gave them 25 cent and it multiplied and gave me a dollar","im not sure","No, I would like to complete the study.",875,"English",56,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1502,"Need","Delay",2023-08-20 18:29:24,2023-08-20 18:37:49,2023-08-20 18:37:49,504,"I consent to participate in this study. Take me to the study.",0.1,"You would earn $1.00, and the other person would earn $0.50","They lack regular access to food",22.056,22.056,30.148,1,1,"They seem like they really need money relative to their basic needs","Some experience","They lacked access to food.","Economic equality","No, I would like to complete the study.",33,"English",43,"Male","White","United States","United States","United States","English","Yes","Full-Time"
1503,"Need","Pressure",2023-08-20 18:33:09,2023-08-20 18:37:50,2023-08-20 18:37:51,281,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","That they were poor as a church mouse and had limited access to food.",3.119,3.119,4.913,1,0,"Because I think it's total BS that the person you've claimed is eating at a soup kitchen even exists.","Some experience","They don't have regular access to food and often eat at soup kitchens.","To see if we were stupid enough to fall for this line of BS and give away some or all of the bonus money?","No, I would like to complete the study.",6272,"English",42,"Male","White","United States","United States","United States","English",NA,NA
1504,"Control","Pressure",2023-08-20 18:31:03,2023-08-20 18:38:03,2023-08-20 18:38:03,419,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I was matched with a randomly selected user from prolific.",1.834,2.707,4.494,3,0,"I felt no obligation to split the money with a random user so i chose not to share and kept the whole amount.","No experience","a randomly selected user from prolific","sense of obligation to a random person?","No, I would like to complete the study.",1544,"English, Spanish",34,"Male","White","Mexico","United States","United States","English","No","Full-Time"
1505,"Debt","Pressure",2023-08-20 18:29:51,2023-08-20 18:38:06,2023-08-20 18:38:07,495,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were initially given 25 cents. They were given the option to send the money to me, multiplying it by 4 in the process. They decided to send me the money. Neither of us will ever find out anything more about the other person.",1.07,4.566,6.721,3,0.5,"What happened was a cooperative effort between me and the other person. If it weren't for them, I would not have had the $1 to allocate. I felt it was most fair to send half the bonus to them.","Some experience","They were given 25 cents and asked if they wanted to send it to me, multiplying the amount 4 times in the process. They were told they would have no direct interaction with me.","Willingness to act in an altruistic way in an anonymous interaction.","No, I would like to complete the study.",1974,"English",30,"Male","White","United States","United States","United States","English","No","Part-Time"
1506,"Need","Pressure",2023-08-20 18:34:40,2023-08-20 18:38:07,2023-08-20 18:38:07,206,"I consent to participate in this study. Take me to the study.",0.67,"You would earn $0.75, and the other person would earn $0.25","They dont have regular access to food and are struggling it seems.",0.661,3.487,4.723,2,0.5,"Its just half and equal amount to give which seems fair.","Some experience","The dont have regular access to meals and get most of their meals at a soup kitchen.","If you were willing to give more money to someone unfortunate.","No, I would like to complete the study.",1874,"English",26,"Male","Other","United States","United States","United States","English","Yes","Full-Time"
1507,"Need","Delay",2023-08-20 18:32:18,2023-08-20 18:38:09,2023-08-20 18:38:10,351,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","Someone that doesn't get regular meals and goes to a soup kitchen for meals they do get.",3.566,21.781,24.563,3,0.15,"I felt like giving something, but not a lot because I want the money more.","Some experience","They don't have access to regular meals and get what meals they can from a soup kitchen.","How generous people are.","No, I would like to complete the study.",3925,"English",30,"Male","White","United States","United States","United States","English",NA,NA
1508,"Need","Pressure",2023-08-20 18:24:03,2023-08-20 18:38:09,2023-08-20 18:38:10,846,"I consent to participate in this study. Take me to the study.",0.41,"You would earn $0.75, and the other person would earn $0.25","The other person is someone who does not have access to regular meals and must get a majority of their meals from a local soup kitchen.",2.73,4.196,6.202,2,0.2,"I chose this amount as they seem to have access to food from a soup kitchen but I thought about my circumstances and the fact I also go to food pantries to get food, therefore I did not give much to them.","No experience","I believe the other person had little access to food. They received a portion of their meals from a soup kitchen. I had one dollar to give whatever amount I chose in ten seconds to that person.","To see if someone who is down on their luck and has to get their meals from someplace other than their home would be someone you would give part of your bonus to them. Maybe to see if you felt sorry for them or were sympathetic to their problem.","No, I would like to complete the study.",4311,"English",75,"Male","White","United States","United States","United States","English","No","Part-Time"
1509,"Control","Pressure",2023-08-20 18:34:06,2023-08-20 18:38:22,2023-08-20 18:38:22,255,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person is anonymous, and we will never know each other.",5.577,5.577,6.627,1,0.3,"I was kind of greedy, but not too much","No experience","I was told the other person was a randomly selected participant who will remain anonymous.","peoples ability to make quick monetary decisions","No, I would like to complete the study.",854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1510,"Debt","Pressure",2023-08-20 18:33:51,2023-08-20 18:38:23,2023-08-20 18:38:23,271,"I consent to participate in this study. Take me to the study.",0.43,"You would earn $0.75, and the other person would earn $0.25","the individual I was paired with initially had $0.25. They were given the choice to multiply this amount by four and send the multiplied sum to me. They agreed to do so, resulting in me receiving my current balance of $1.00.",2.914,2.914,3.695,1,0.2,"I chose a small amount because I dont have much faith the other participant will give me anything back","Some experience","I was not given any information about them other than that they can choose to return money to me","I am not sure","No, I would like to complete the study.",4583,"English",34,"Female","White","United States","United States","United States","English",NA,NA
1511,"Debt","Delay",2023-08-20 18:31:24,2023-08-20 18:38:42,2023-08-20 18:38:42,437,"I consent to participate in this study. Take me to the study.",0.48,"You would earn $0.75, and the other person would earn $0.25","They took .25 that they had and it was multiplied and given back to me. in the amount of $1.00.",5.189,5.189,17.388,1,0,"I chose $0 because I am not so sure that it is a real person and I would just take what I could.","Some experience","That they gave me .25 and it was multiplied x4 so I received $1.00","Gratefulness","No, I would like to complete the study.",4919,"English",59,"Male","White","United States","United States","United States","English",NA,NA
1512,"Debt","Delay",2023-08-20 18:31:04,2023-08-20 18:38:44,2023-08-20 18:38:45,459,"I consent to participate in this study. Take me to the study.",0.72,"You would earn $0.75, and the other person would earn $0.25","The other person was given 0.25 to start the task. They decided to multiply the 0.25 x 4 to equal $1.00. The person then decided to give me the $1.00.",6.849,6.849,12.926,1,0.5,"I chose 0.50 because I felt that was a fair amount to give. 0.50 is exactly half of $1.00.","No experience","The other person was given 0.25. They decided to multiply that 0.25 by 4 times so they received $1.00. The person gave me the $1.00.","I think you were trying to see how much people would decide to give to another person when that person gave you $1.00.","No, I would like to complete the study.",2636,"English, Chinese",46,"Male","Asian","United States","United States","United States","English","No","Part-Time"
1513,"Need","Pressure",2023-08-20 18:31:38,2023-08-20 18:38:45,2023-08-20 18:38:45,427,"I consent to participate in this study. Take me to the study.",0.05,"You would earn $0.75, and the other person would earn $0.25","The person frequently gets their food from the foodbank.",1.647,4.414,5.234,2,0.5,"I thought we should get equal pay.","No experience","The person gets their food from a food bank.","How generous we are to people who are in less than average economic situations.","No, I would like to complete the study.",1134,"English",34,"Female","White","United States","United States","United States","English","No","Full-Time"
1514,"Need","Delay",2023-08-20 18:34:05,2023-08-20 18:38:50,2023-08-20 18:38:50,284,"I consent to participate in this study. Take me to the study.",0.45,"You would earn $0.75, and the other person would earn $0.25","This is a person who regularly gets their meals from a soup kitchen.  I'll never know their identity (and vice versa).",17.861,18.904,20.648,2,0,"I'm out of work and need all the cash I can get.  I'm not on a soup kitchen diet, though (yet anyway).","Some experience","I was told that the person gets most of their meals from a soup kitchen.  I was also told that I'd never know their identity (and vice versa).","How much of a greedy jerk I am...","No, I would like to complete the study.",4541,"English",58,"Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
1515,"Debt","Pressure",2023-08-20 18:34:12,2023-08-20 18:38:55,2023-08-20 18:38:55,283,"I consent to participate in this study. Take me to the study.",0.68,"You would earn $0.75, and the other person would earn $0.25","They were initially given 25 cents and were asked if they wanted to multiply it to send me $1",2.499,7.727,8.617,2,0.48,"I didn't quite get it perfect but I tried to split the money 50/50 as that is the fair thing to do.","A lot of experience","They were given 25 cents and were asked if they wanted to multiply it by 4 to send it to me to complete this task","how another person's decision making affects our willingness to split a reward","No, I would like to complete the study.",3004,"English",32,"Female","White","United States","United States","United States","English","No","Full-Time"
1516,"Need","Pressure",2023-08-20 18:31:18,2023-08-20 18:38:55,2023-08-20 18:38:56,456,"I consent to participate in this study. Take me to the study.",0.41,"You would earn $0.75, and the other person would earn $0.25","This person lacks regular access to food and get some of their meals at a soup kitchen.",2.799,5.865,12.223,3,1,"Because I have regular access to food the other person doesn't.","A lot of experience","They weren't given a bonus. They don't have regular access to food. They get some of their meals at a soup kitchen.","Generosity","No, I would like to complete the study.",6854,"English",68,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1517,"Control","Delay",2023-08-20 18:31:51,2023-08-20 18:39:03,2023-08-20 18:39:03,431,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were chosen randomly and I won't know their identity.",14.485,15.284,19.037,2,0,"I wanted the extra dollar since studies on this platform don't pay much.","Some experience","The person was chosen from a pool of participants randomly. I will never know their identity and they will never know mine.","How do people act when given the chance to distribute money between themselves and a stranger.","No, I would like to complete the study.",1606,"English",25,"Female",NA,"United States","United States","United States","English","No",NA
1518,"Control","Pressure",2023-08-20 18:27:00,2023-08-20 18:39:06,2023-08-20 18:39:07,725,"I consent to participate in this study. Take me to the study.",0.4,"You would earn $0.75, and the other person would earn $0.25","I will be randomly matched with an anonymous Prolific participant. They won't ever know who I am, and I will never know who they are.",3.144,4.22,5.427,2,0.4,"I chose the amount I did because I almost ran out of time and panicked. Regardless of the anonymity, I morally wanted to be fair and give 50 cents.","Some experience","I was told that the other person I was matched with would be an anonymously, randomly selected Prolific participant. I was also told that the person I was matched with would never know who I was and I would never know who they were.","I think the study was trying to measure people's moral decisions to give money to others based on knowing that they would never be known for their decision.","No, I would like to complete the study.",625,"English",41,"Female","Mixed","United States","United States","United States","English","No","Unemployed (and job seeking)"
1519,"Debt","Delay",2023-08-20 18:34:12,2023-08-20 18:39:15,2023-08-20 18:39:16,303,"I consent to participate in this study. Take me to the study.",0.93,"You would earn $0.75, and the other person would earn $0.25","they were given a quarter and said yes to giving me the quarter and three other bonus quarters",4.07,6.488,15.133,2,0.5,"Because it's fair. I don't know their situation. I don't know if they use this to pay bills or feed their kids. I need every penny b/c I'm disabled and can't work (and can't get disability), but I have family who can take care of me for now. So I try to be reasonable.","A lot of experience","They were given money, and they gave it back to me knowing it'd be multiplied.","Generosity","No, I would like to complete the study.",3375,"English",24,"Female","Mixed","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1520,"Need","Delay",2023-08-20 18:36:21,2023-08-20 18:39:18,2023-08-20 18:39:19,177,"I consent to participate in this study. Take me to the study.",0.58,"You would earn $0.75, and the other person would earn $0.25","they receive most of their meals from a soup kitchen",16.997,16.997,18.334,1,0,"primarily financial need","Some experience","they lack regular access to food","not sure","No, I would like to complete the study.",2752,"English",40,"Male","White","United States","United States","United States","English","No","Full-Time"
